2026-01-14 16:15:41 | INFO     | Analyzer        | Loading sentiment analysis model: distilbert-base-uncased-finetuned-sst-2-english
2026-01-14 16:16:11 | INFO     | Analyzer        | Loading sentiment analysis model: distilbert-base-uncased-finetuned-sst-2-english
2026-01-14 16:16:21 | INFO     | Analyzer        | Loading sentiment analysis model: distilbert-base-uncased-finetuned-sst-2-english
2026-01-14 16:16:32 | INFO     | Analyzer        | ML models loaded successfully
2026-01-14 16:16:32 | INFO     | Analyzer        | ML models loaded successfully
2026-01-14 16:16:32 | INFO     | Analyzer        | ML models loaded successfully
2026-01-14 16:16:32 | INFO     | Orchestrator    | Initialized 5 agents: ['DataFetcher', 'Analyzer', 'DecisionMaker', 'Notifier', 'Supervisor']
2026-01-14 16:16:32 | INFO     | Orchestrator    | Initialized 5 agents: ['DataFetcher', 'Analyzer', 'DecisionMaker', 'Notifier', 'Supervisor']
2026-01-14 16:16:32 | INFO     | Orchestrator    | Initialized 5 agents: ['DataFetcher', 'Analyzer', 'DecisionMaker', 'Notifier', 'Supervisor']
2026-01-14 16:16:32 | INFO     | WorkflowManager | Registered workflow 'enterprise_analysis' with 5 steps
2026-01-14 16:16:32 | INFO     | WorkflowManager | Registered workflow 'enterprise_analysis' with 5 steps
2026-01-14 16:16:32 | INFO     | WorkflowManager | Registered workflow 'quick_sentiment_check' with 3 steps
2026-01-14 16:16:32 | INFO     | WorkflowManager | Registered workflow 'quick_sentiment_check' with 3 steps
2026-01-14 16:16:32 | INFO     | Orchestrator    | Orchestrator initialized successfully
eck' with 3 steps
2026-01-14 16:16:32 | INFO     | Orchestrator    | Orchestrator initialized successfully
2026-01-14 16:16:32 | INFO     | Orchestrator    | Orchestrator initialized successfully
2026-01-14 16:16:53 | INFO     | Analyzer        | Loading sentiment analysis model: distilbert-base-uncased-finetuned-sst-2-english
2026-01-14 16:16:57 | INFO     | Analyzer        | ML models loaded successfully
2026-01-14 16:16:57 | INFO     | Orchestrator    | Initialized 5 agents: ['DataFetcher', 'Analyzer', 'DecisionMaker', 'Notifier', 'Supervisor']
2026-01-14 16:16:57 | INFO     | WorkflowManager | Registered workflow 'enterprise_analysis' with 5 steps
2026-01-14 16:16:57 | INFO     | WorkflowManager | Registered workflow 'quick_sentiment_check' with 3 steps
2026-01-14 16:16:57 | INFO     | Orchestrator    | Orchestrator initialized successfully
2026-01-14 16:17:28 | INFO     | Analyzer        | Loading sentiment analysis model: distilbert-base-uncased-finetuned-sst-2-english
2026-01-14 16:17:34 | INFO     | Analyzer        | ML models loaded successfully
2026-01-14 16:17:34 | INFO     | Orchestrator    | Initialized 5 agents: ['DataFetcher', 'Analyzer', 'DecisionMaker', 'Notifier', 'Supervisor']
2026-01-14 16:17:34 | INFO     | WorkflowManager | Registered workflow 'enterprise_analysis' with 5 steps
2026-01-14 16:17:34 | INFO     | WorkflowManager | Registered workflow 'quick_sentiment_check' with 3 steps
2026-01-14 16:17:34 | INFO     | Orchestrator    | Orchestrator initialized successfully
2026-01-14 16:17:34 | INFO     | Orchestrator    | ================================================================================
2026-01-14 16:17:34 | INFO     | Orchestrator    | Starting workflow: enterprise_analysis
2026-01-14 16:17:34 | INFO     | Orchestrator    | ================================================================================
2026-01-14 16:17:34 | INFO     | Orchestrator    | Execution plan: 5 level(s)
2026-01-14 16:17:34 | INFO     | Orchestrator    |   Level 1: DataFetcher
2026-01-14 16:17:34 | INFO     | Orchestrator    |   Level 2: Analyzer
2026-01-14 16:17:34 | INFO     | Orchestrator    |   Level 3: DecisionMaker
2026-01-14 16:17:34 | INFO     | Orchestrator    |   Level 4: Notifier
2026-01-14 16:17:34 | INFO     | Orchestrator    |   Level 5: Supervisor
2026-01-14 16:17:34 | INFO     | Orchestrator    | 
============================================================
2026-01-14 16:17:34 | INFO     | Orchestrator    | Executing Level 1/5
2026-01-14 16:17:34 | INFO     | Orchestrator    | ============================================================
2026-01-14 16:17:34 | INFO     | Orchestrator    | Executing agent: DataFetcher
2026-01-14 16:17:34 | INFO     | DataFetcher     | Starting execution with inputs: []
2026-01-14 16:17:34 | WARNING  | DataFetcher     | No OpenWeatherMap API key found, using mock data
2026-01-14 16:17:34 | INFO     | DataFetcher     | Successfully fetched weather data for London
2026-01-14 16:17:34 | WARNING  | DataFetcher     | No NewsAPI key found, using mock data
2026-01-14 16:17:34 | INFO     | DataFetcher     | Successfully fetched 3 news articles
2026-01-14 16:17:34 | INFO     | DataFetcher     | Execution completed successfully in 0.00s (attempt 1/4)
2026-01-14 16:17:34 | INFO     | Orchestrator    | 
============================================================
2026-01-14 16:17:34 | INFO     | Orchestrator    | Executing Level 2/5
2026-01-14 16:17:34 | INFO     | Orchestrator    | ============================================================
2026-01-14 16:17:34 | INFO     | Orchestrator    | Executing agent: Analyzer
2026-01-14 16:17:34 | INFO     | Analyzer        | Starting execution with inputs: []
2026-01-14 16:17:34 | ERROR    | Orchestrator    | Agent execution failed: Analyzer
2026-01-14 16:17:34 | ERROR    | Orchestrator    | Agent Analyzer failed: [Analyzer] Validation failed: Input validation failed: [Analyzer] Validation failed: Missing required input 'raw_data'
2026-01-14 16:17:34 | ERROR    | Orchestrator    | Workflow failed after 0.01s: [Orchestrator:enterprise_analysis] Critical agent 'Analyzer' failed: [Analyzer] Validation failed: Input validation failed: [Analyzer] Validation failed: Missing required input 'raw_data'
2026-01-14 16:17:34 | INFO     | StateManager    | State saved: data\outputs\state\enterprise_analysis_20260114_161734.json
2026-01-14 16:17:35 | INFO     | Analyzer        | Loading sentiment analysis model: distilbert-base-uncased-finetuned-sst-2-english
2026-01-14 16:17:39 | INFO     | Analyzer        | ML models loaded successfully
2026-01-14 16:17:39 | INFO     | Orchestrator    | Initialized 5 agents: ['DataFetcher', 'Analyzer', 'DecisionMaker', 'Notifier', 'Supervisor']
2026-01-14 16:17:39 | INFO     | WorkflowManager | Registered workflow 'enterprise_analysis' with 5 steps
2026-01-14 16:17:39 | INFO     | WorkflowManager | Registered workflow 'quick_sentiment_check' with 3 steps
2026-01-14 16:17:39 | INFO     | Orchestrator    | Orchestrator initialized successfully
2026-01-14 16:17:39 | INFO     | Orchestrator    | ================================================================================
2026-01-14 16:17:39 | INFO     | Orchestrator    | Starting workflow: enterprise_analysis
2026-01-14 16:17:39 | INFO     | Orchestrator    | ================================================================================
2026-01-14 16:17:39 | INFO     | Orchestrator    | Execution plan: 5 level(s)
2026-01-14 16:17:39 | INFO     | Orchestrator    |   Level 1: DataFetcher
2026-01-14 16:17:39 | INFO     | Orchestrator    |   Level 2: Analyzer
2026-01-14 16:17:39 | INFO     | Orchestrator    |   Level 3: DecisionMaker
2026-01-14 16:17:39 | INFO     | Orchestrator    |   Level 4: Notifier
2026-01-14 16:17:39 | INFO     | Orchestrator    |   Level 5: Supervisor
2026-01-14 16:17:39 | INFO     | Orchestrator    | 
============================================================
2026-01-14 16:17:39 | INFO     | Orchestrator    | Executing Level 1/5
2026-01-14 16:17:39 | INFO     | Orchestrator    | ============================================================
2026-01-14 16:17:39 | INFO     | Orchestrator    | Executing agent: DataFetcher
2026-01-14 16:17:39 | INFO     | DataFetcher     | Starting execution with inputs: []
2026-01-14 16:17:39 | WARNING  | DataFetcher     | No OpenWeatherMap API key found, using mock data
2026-01-14 16:17:39 | INFO     | DataFetcher     | Successfully fetched weather data for London
2026-01-14 16:17:39 | WARNING  | DataFetcher     | No NewsAPI key found, using mock data
2026-01-14 16:17:39 | INFO     | DataFetcher     | Successfully fetched 3 news articles
2026-01-14 16:17:39 | INFO     | DataFetcher     | Execution completed successfully in 0.00s (attempt 1/4)
2026-01-14 16:17:39 | INFO     | Orchestrator    | 
============================================================
2026-01-14 16:17:39 | INFO     | Orchestrator    | Executing Level 2/5
2026-01-14 16:17:39 | INFO     | Orchestrator    | ============================================================
2026-01-14 16:17:39 | INFO     | Orchestrator    | Executing agent: Analyzer
2026-01-14 16:17:39 | INFO     | Analyzer        | Starting execution with inputs: []
2026-01-14 16:17:39 | ERROR    | Orchestrator    | Agent execution failed: Analyzer
2026-01-14 16:17:39 | ERROR    | Orchestrator    | Agent Analyzer failed: [Analyzer] Validation failed: Input validation failed: [Analyzer] Validation failed: Missing required input 'raw_data'
